"plots"	"block"	"trt"
11	"1"	"2"
12	"1"	"Dina"
13	"1"	"10"
14	"1"	"20"
15	"1"	"1"
16	"1"	"5"
17	"1"	"100"
18	"1"	"50"
19	"1"	"0"
21	"2"	"0"
22	"2"	"1"
23	"2"	"100"
24	"2"	"10"
25	"2"	"50"
26	"2"	"5"
27	"2"	"20"
28	"2"	"2"
29	"2"	"Dina"
31	"3"	"5"
32	"3"	"50"
33	"3"	"100"
34	"3"	"1"
35	"3"	"Dina"
36	"3"	"0"
37	"3"	"10"
38	"3"	"2"
39	"3"	"20"
41	"4"	"5"
42	"4"	"50"
43	"4"	"2"
44	"4"	"100"
45	"4"	"20"
46	"4"	"1"
47	"4"	"0"
48	"4"	"Dina"
49	"4"	"10"
51	"5"	"100"
52	"5"	"0"
53	"5"	"20"
54	"5"	"2"
55	"5"	"10"
56	"5"	"50"
57	"5"	"5"
58	"5"	"1"
59	"5"	"Dina"
61	"6"	"100"
62	"6"	"0"
63	"6"	"5"
64	"6"	"10"
65	"6"	"50"
66	"6"	"1"
67	"6"	"2"
68	"6"	"Dina"
69	"6"	"20"
