Local	Latitude	Longitude	TBH
Boa_Vista-RR	2.8233	-60.6733	40
Mata_Roma-MA	-3.625	-43.1111	38
Teresina-PI	-5.0892	-42.8019	25
Guaraí-TO	-8.8342	-48.5103	30
Teotônio_Vilela-AL	-9.9061	-36.3522	39
Paripiranga-BA	-10.6878	-37.8619	33
Sinop-MT	-11.8642	-55.5025	49
Vilhena-RO	-12.7406	-60.1458	26
Planaltina-DF	-15.6167	-47.6667	31
Cáceres-MT	-16.0706	-57.6789	48
Sete_Lagoas-MG	-19.4658	-44.2467	50
Dourados-MS	-22.2208	-54.8058	26
Piracicaba-SP	-22.725	-47.6489	46
Pelotas-RS	-31.7719	-52.3425	22
