epoca	trat	Rep	Var2
1	10	1	57
1	10	2	65
1	10	3	55
1	10	4	57
1	20	1	55
1	20	2	75
1	20	3	51
1	20	4	79
1	40	1	73
1	40	2	83
1	40	3	79
1	40	4	77
2	10	1	43
2	10	2	37
2	10	3	65
2	10	4	71
2	20	1	71
2	20	2	67
2	20	3	63
2	20	4	69
2	40	1	85
2	40	2	69
2	40	3	79
2	40	4	97
3	10	1	41
3	10	2	63
3	10	3	49
3	10	4	55
3	20	1	71
3	20	2	51
3	20	3	61
3	20	4	59
3	40	1	73
3	40	2	67
3	40	3	73
3	40	4	67
4	10	1	43
4	10	2	71
4	10	3	55
4	10	4	43
4	20	1	53
4	20	2	51
4	20	3	51
4	20	4	53
4	40	1	63
4	40	2	31
4	40	3	55
4	40	4	47
1	controle	1	77
1	controle	2	75
1	controle	3	83
1	controle	4	79
