Placa	Ambiente	Tratamento	Tecido	VAR1
1	60	1	1	113.59
1	60	2	1	121.70
1	60	3	1	34.40
1	60	4	1	78.65
1	60	1	2	33.03
1	60	2	2	31.87
1	60	3	2	47.16
1	60	4	2	49.99
1	60	1	3	105.21
1	60	2	3	56.90
1	60	3	3	87.54
1	60	4	3	123.57
1	60	1	4	28.31
1	60	2	4	1.75
1	60	3	4	17.32
1	60	4	4	38.72
2	60	1	1	153.81
2	60	2	1	124.98
2	60	3	1	31.43
2	60	4	1	48.33
2	60	1	2	46.46
2	60	2	2	18.82
2	60	3	2	43.85
2	60	4	2	37.13
2	60	1	3	83.73
2	60	2	3	74.18
2	60	3	3	72.18
2	60	4	3	92.48
2	60	1	4	18.46
2	60	2	4	21.33
2	60	3	4	12.78
2	60	4	4	40.98
3	60	1	1	126.46
3	60	2	1	100.87
3	60	3	1	36.86
3	60	4	1	61.29
3	60	1	2	42.85
3	60	2	2	40.09
3	60	3	2	58.39
3	60	4	2	61.20
3	60	1	3	64.75
3	60	2	3	71.76
3	60	3	3	89.42
3	60	4	3	96.56
3	60	1	4	33.62
3	60	2	4	34.59
3	60	3	4	17.97
3	60	4	4	49.32
4	60	1	1	171.56
4	60	2	1	154.49
4	60	3	1	18.68
4	60	4	1	73.69
4	60	1	2	42.14
4	60	2	2	21.94
4	60	3	2	54.66
4	60	4	2	43.39
4	60	1	3	110.24
4	60	2	3	103.94
4	60	3	3	79.06
4	60	4	3	103.07
4	60	1	4	43.28
4	60	2	4	15.82
4	60	3	4	13.78
4	60	4	4	32.62
1	120	1	1	12.62
1	120	2	1	7.56
1	120	3	1	9.51
1	120	4	1	11.88
1	120	1	2	4.10
1	120	2	2	5.26
1	120	3	2	5.13
1	120	4	2	3.19
1	120	1	3	7.74
1	120	2	3	5.02
1	120	3	3	5.99
1	120	4	3	5.44
1	120	1	4	14.83
1	120	2	4	14.61
1	120	3	4	16.88
1	120	4	4	12.03
2	120	1	1	6.67
2	120	2	1	5.55
2	120	3	1	6.83
2	120	4	1	10.31
2	120	1	2	1.50
2	120	2	2	0.58
2	120	3	2	0.26
2	120	4	2	2.48
2	120	1	3	6.29
2	120	2	3	5.89
2	120	3	3	3.47
2	120	4	3	5.26
2	120	1	4	16.08
2	120	2	4	14.11
2	120	3	4	11.03
2	120	4	4	13.49
3	120	1	1	7.48
3	120	2	1	12.21
3	120	3	1	11.72
3	120	4	1	15.02
3	120	1	2	1.76
3	120	2	2	1.72
3	120	3	2	1.28
3	120	4	2	3.52
3	120	1	3	6.17
3	120	2	3	3.22
3	120	3	3	3.83
3	120	4	3	3.97
3	120	1	4	12.79
3	120	2	4	13.46
3	120	3	4	12.36
3	120	4	4	16.56
4	120	1	1	11.19
4	120	2	1	14.83
4	120	3	1	10.25
4	120	4	1	11.07
4	120	1	2	6.22
4	120	2	2	1.55
4	120	3	2	3.75
4	120	4	2	1.53
4	120	1	3	6.47
4	120	2	3	8.17
4	120	3	3	4.06
4	120	4	3	8.52
4	120	1	4	17.23
4	120	2	4	20.91
4	120	3	4	18.13
4	120	4	4	16.42
